ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
439,1035,2,16,1,1,2,2,2,,1,1,1,,,
440,1035,1,17,4,0,2,2,2,,0,0,0,,,
441,1035,2,16,0,0,2,2,2,,1,1,1,,,
442,1037,0,21,8,1,2,2,2,,0,0,0,,,
443,1037,2,17,4,0,2,2,2,,1,1,1,,,
444,1038,0,16,-1,0,2,2,2,,0,0,0,,,
445,1045,0,14,-1,0,0,0,0,,1,1,1,,,
446,1046,0,15,-1,0,0,0,0,,1,1,1,,,
447,1046,0,14,-4,0,0,0,0,,1,1,1,,,
448,1046,2,16,0,0,2,2,2,,1,1,1,,,
449,1054,0,12,-2,1,0,0,0,,1,1,1,,,
450,1054,2,13,3,1,2,2,2,,1,1,1,,,
451,1059,2,15,0,1,0,0,0,,0,0,0,,,
452,1059,0,13,2,1,2,2,2,,0,0,0,,,
453,1059,0,16,-1,0,2,2,2,,0,0,0,,,
454,1069,0,12,3,1,2,2,2,,0,0,0,,,
455,1069,2,11,4,1,2,2,2,,1,1,1,,,
456,1069,1,13,5,1,2,2,2,,0,0,0,,,
457,1071,2,15,3,1,2,2,2,,1,1,1,,,
458,1071,2,15,1,1,2,2,2,,1,1,1,,,
459,1071,2,13,1,1,0,0,0,,0,0,0,,,
460,1071,0,13,3,1,2,2,2,,0,0,0,,,
461,1073,2,13,1,0,2,2,2,,1,1,1,,,
462,1073,0,12,0,0,0,0,0,,1,1,1,,,
463,1091,2,13,0,1,0,0,0,,0,0,0,,,
464,1099,0,15,0,0,2,2,2,,0,0,0,,,
465,1099,1,12,0,0,0,0,0,,0,0,0,,,
466,1100,0,15,-1,0,0,0,0,,1,1,1,,,
467,1100,0,14,-1,0,0,0,0,,1,1,1,,,
468,1100,2,15,-1,0,0,0,0,,0,0,0,,,
469,1100,2,13,1,0,2,2,2,,1,1,1,,,
470,1101,2,18,2,0,2,2,2,,1,1,1,,,
471,1101,2,15,0,0,2,2,2,,1,1,1,,,
472,1115,0,17,2,1,2,2,2,,0,0,0,,,
473,1115,2,17,4,0,2,2,2,,1,1,1,,,
474,1122,0,16,-2,0,0,0,0,,1,1,1,,,
475,1123,0,16,0,0,2,2,2,,0,0,0,,,
476,1124,1,14,1,0,2,2,2,,0,0,0,,,
477,1125,2,17,1,0,2,2,2,,1,1,1,,,
478,1125,2,16,0,0,2,2,2,,1,1,1,,,
479,1130,0,16,0,0,2,2,2,,0,0,0,,,
